sample_id,brand,panel,thickness_um,thickness_mils,oem_range_um,label
V0044-door_rear_left,Mercedes-Benz,door_rear_left,102.6,4.04,100-140,factory_normal
V0044-door_rear_right,Mercedes-Benz,door_rear_right,99.4,3.91,100-140,factory_normal
V0044-fender_left,Mercedes-Benz,fender_left,102.9,4.05,100-140,factory_normal
V0044-fender_right,Mercedes-Benz,fender_right,86.5,3.41,100-140,thin_caution
V0044-quarter_left,Mercedes-Benz,quarter_left,103.1,4.06,100-140,factory_normal
V0044-quarter_right,Mercedes-Benz,quarter_right,83.0,3.27,100-140,thin_caution
V0044-bumper_front,Mercedes-Benz,bumper_front,269.1,10.59,100-140,repair_or_filler
V0044-bumper_rear,Mercedes-Benz,bumper_rear,101.4,3.99,100-140,factory_normal
V0044-door_jamb_left,Mercedes-Benz,door_jamb_left,100.9,3.97,100-140,factory_normal
V0044-door_jamb_right,Mercedes-Benz,door_jamb_right,101.1,3.98,100-140,factory_normal
V0045-hood,BMW,hood,107.5,4.23,100-140,factory_normal
V0045-roof,BMW,roof,220.8,8.69,100-140,respray
V0045-trunk,BMW,trunk,111.4,4.39,100-140,factory_normal
V0045-door_front_left,BMW,door_front_left,109.8,4.32,100-140,factory_normal
V0045-door_front_right,BMW,door_front_right,110.7,4.36,100-140,factory_normal
V0045-door_rear_left,BMW,door_rear_left,112.4,4.43,100-140,factory_normal
V0045-door_rear_right,BMW,door_rear_right,114.3,4.5,100-140,factory_normal
V0045-fender_left,BMW,fender_left,106.2,4.18,100-140,factory_normal
V0045-fender_right,BMW,fender_right,106.0,4.17,100-140,factory_normal
V0045-quarter_left,BMW,quarter_left,266.0,10.47,100-140,repair_or_filler
V0045-quarter_right,BMW,quarter_right,109.2,4.3,100-140,factory_normal
V0045-bumper_front,BMW,bumper_front,109.1,4.3,100-140,factory_normal
V0045-bumper_rear,BMW,bumper_rear,116.6,4.59,100-140,factory_normal
V0045-door_jamb_left,BMW,door_jamb_left,113.8,4.48,100-140,factory_normal
V0045-door_jamb_right,BMW,door_jamb_right,212.3,8.36,100-140,respray
V0046-hood,BMW,hood,129.0,5.08,100-140,factory_normal
V0046-roof,BMW,roof,131.3,5.17,100-140,factory_normal
V0046-trunk,BMW,trunk,133.4,5.25,100-140,factory_normal
V0046-door_front_left,BMW,door_front_left,130.1,5.12,100-140,factory_normal
V0046-door_front_right,BMW,door_front_right,130.2,5.13,100-140,factory_normal
V0046-door_rear_left,BMW,door_rear_left,133.7,5.26,100-140,factory_normal
V0046-door_rear_right,BMW,door_rear_right,129.2,5.09,100-140,factory_normal
V0046-fender_left,BMW,fender_left,125.9,4.96,100-140,factory_normal
V0046-fender_right,BMW,fender_right,127.5,5.02,100-140,factory_normal
V0046-quarter_left,BMW,quarter_left,132.7,5.22,100-140,factory_normal
V0046-quarter_right,BMW,quarter_right,129.6,5.1,100-140,factory_normal
V0046-bumper_front,BMW,bumper_front,153.7,6.05,100-140,respray
V0046-bumper_rear,BMW,bumper_rear,135.9,5.35,100-140,factory_normal
V0046-door_jamb_left,BMW,door_jamb_left,209.2,8.24,100-140,respray
V0046-door_jamb_right,BMW,door_jamb_right,126.5,4.98,100-140,factory_normal
V0047-hood,BMW,hood,103.8,4.09,100-140,factory_normal
V0047-roof,BMW,roof,103.5,4.07,100-140,factory_normal
V0047-trunk,BMW,trunk,108.3,4.26,100-140,factory_normal
V0047-door_front_left,BMW,door_front_left,106.9,4.21,100-140,factory_normal
V0047-door_front_right,BMW,door_front_right,106.8,4.2,100-140,factory_normal
V0047-door_rear_left,BMW,door_rear_left,107.2,4.22,100-140,factory_normal
V0047-door_rear_right,BMW,door_rear_right,108.3,4.26,100-140,factory_normal
V0047-fender_left,BMW,fender_left,94.6,3.72,100-140,factory_normal
V0047-fender_right,BMW,fender_right,103.4,4.07,100-140,factory_normal
V0047-quarter_left,BMW,quarter_left,94.3,3.71,100-140,factory_normal
V0047-quarter_right,BMW,quarter_right,105.4,4.15,100-140,factory_normal
V0047-bumper_front,BMW,bumper_front,118.0,4.65,100-140,factory_normal
V0047-bumper_rear,BMW,bumper_rear,113.1,4.45,100-140,factory_normal
V0047-door_jamb_left,BMW,door_jamb_left,105.2,4.14,100-140,factory_normal
V0047-door_jamb_right,BMW,door_jamb_right,108.1,4.26,100-140,factory_normal
V0048-hood,BMW,hood,121.8,4.8,100-140,factory_normal
V0048-roof,BMW,roof,121.1,4.77,100-140,factory_normal
V0048-trunk,BMW,trunk,113.0,4.45,100-140,factory_normal
V0048-door_front_left,BMW,door_front_left,122.6,4.83,100-140,factory_normal
V0048-door_front_right,BMW,door_front_right,121.3,4.78,100-140,factory_normal
V0048-door_rear_left,BMW,door_rear_left,118.3,4.66,100-140,factory_normal
V0048-door_rear_right,BMW,door_rear_right,113.9,4.48,100-140,factory_normal
V0048-fender_left,BMW,fender_left,113.5,4.47,100-140,factory_normal
V0048-fender_right,BMW,fender_right,115.1,4.53,100-140,factory_normal
V0048-quarter_left,BMW,quarter_left,120.5,4.74,100-140,factory_normal
V0048-quarter_right,BMW,quarter_right,113.0,4.45,100-140,factory_normal
V0048-bumper_front,BMW,bumper_front,114.2,4.5,100-140,factory_normal
V0048-bumper_rear,BMW,bumper_rear,134.3,5.29,100-140,factory_normal
V0048-door_jamb_left,BMW,door_jamb_left,118.2,4.65,100-140,factory_normal
V0048-door_jamb_right,BMW,door_jamb_right,119.0,4.69,100-140,factory_normal
V0049-hood,BMW,hood,112.5,4.43,100-140,factory_normal
V0049-roof,BMW,roof,109.5,4.31,100-140,factory_normal
V0049-trunk,BMW,trunk,117.6,4.63,100-140,factory_normal
V0049-door_front_left,BMW,door_front_left,108.0,4.25,100-140,factory_normal
V0049-door_front_right,BMW,door_front_right,116.0,4.57,100-140,factory_normal
V0049-door_rear_left,BMW,door_rear_left,107.1,4.22,100-140,factory_normal
V0049-door_rear_right,BMW,door_rear_right,110.0,4.33,100-140,factory_normal
V0049-fender_left,BMW,fender_left,105.0,4.13,100-140,factory_normal
V0049-fender_right,BMW,fender_right,112.6,4.43,100-140,factory_normal
V0049-quarter_left,BMW,quarter_left,117.5,4.63,100-140,factory_normal
V0049-quarter_right,BMW,quarter_right,109.9,4.33,100-140,factory_normal
V0049-bumper_front,BMW,bumper_front,119.6,4.71,100-140,factory_normal
V0049-bumper_rear,BMW,bumper_rear,125.9,4.96,100-140,factory_normal
V0049-door_jamb_left,BMW,door_jamb_left,118.7,4.67,100-140,factory_normal
V0049-door_jamb_right,BMW,door_jamb_right,108.6,4.28,100-140,factory_normal
V0050-hood,BMW,hood,140.5,5.53,100-140,factory_normal
V0050-roof,BMW,roof,138.5,5.45,100-140,factory_normal
V0050-trunk,BMW,trunk,141.4,5.57,100-140,factory_normal
V0050-door_front_left,BMW,door_front_left,139.5,5.49,100-140,factory_normal
V0050-door_front_right,BMW,door_front_right,139.8,5.5,100-140,factory_normal
V0050-door_rear_left,BMW,door_rear_left,137.2,5.4,100-140,factory_normal
V0050-door_rear_right,BMW,door_rear_right,132.2,5.2,100-140,factory_normal
V0050-fender_left,BMW,fender_left,131.5,5.18,100-140,factory_normal
V0050-fender_right,BMW,fender_right,142.5,5.61,100-140,factory_normal
V0050-quarter_left,BMW,quarter_left,137.8,5.43,100-140,factory_normal
V0050-quarter_right,BMW,quarter_right,136.3,5.37,100-140,factory_normal
V0050-bumper_front,BMW,bumper_front,146.6,5.77,100-140,factory_normal
V0050-bumper_rear,BMW,bumper_rear,167.0,6.57,100-140,respray
V0050-door_jamb_left,BMW,door_jamb_left,140.7,5.54,100-140,factory_normal
V0050-door_jamb_right,BMW,door_jamb_right,142.2,5.6,100-140,factory_normal
V0051-hood,BMW,hood,118.4,4.66,100-140,factory_normal
V0051-roof,BMW,roof,115.8,4.56,100-140,factory_normal
V0051-trunk,BMW,trunk,115.7,4.56,100-140,factory_normal
V0051-door_front_left,BMW,door_front_left,115.3,4.54,100-140,factory_normal
V0051-door_front_right,BMW,door_front_right,107.2,4.22,100-140,factory_normal
V0051-door_rear_left,BMW,door_rear_left,116.2,4.57,100-140,factory_normal
V0051-door_rear_right,BMW,door_rear_right,106.0,4.17,100-140,factory_normal
V0051-fender_left,BMW,fender_left,108.8,4.28,100-140,factory_normal
V0051-fender_right,BMW,fender_right,119.3,4.7,100-140,factory_normal
V0051-quarter_left,BMW,quarter_left,116.9,4.6,100-140,factory_normal
V0051-quarter_right,BMW,quarter_right,120.2,4.73,100-140,factory_normal
V0051-bumper_front,BMW,bumper_front,130.7,5.15,100-140,factory_normal
V0051-bumper_rear,BMW,bumper_rear,111.4,4.39,100-140,factory_normal
V0051-door_jamb_left,BMW,door_jamb_left,113.8,4.48,100-140,factory_normal
V0051-door_jamb_right,BMW,door_jamb_right,109.8,4.32,100-140,factory_normal
V0052-hood,BMW,hood,102.1,4.02,100-140,factory_normal
V0052-roof,BMW,roof,98.4,3.87,100-140,factory_normal
V0052-trunk,BMW,trunk,100.9,3.97,100-140,factory_normal
V0052-door_front_left,BMW,door_front_left,101.2,3.98,100-140,factory_normal
V0052-door_front_right,BMW,door_front_right,100.8,3.97,100-140,factory_normal
V0052-door_rear_left,BMW,door_rear_left,111.0,4.37,100-140,factory_normal
V0052-door_rear_right,BMW,door_rear_right,101.6,4.0,100-140,factory_normal
V0052-fender_left,BMW,fender_left,100.9,3.97,100-140,factory_normal
V0052-fender_right,BMW,fender_right,91.6,3.61,100-140,factory_normal
V0052-quarter_left,BMW,quarter_left,97.6,3.84,100-140,factory_normal
V0052-quarter_right,BMW,quarter_right,100.8,3.97,100-140,factory_normal
V0052-bumper_front,BMW,bumper_front,107.1,4.22,100-140,factory_normal
V0052-bumper_rear,BMW,bumper_rear,116.1,4.57,100-140,factory_normal
V0052-door_jamb_left,BMW,door_jamb_left,102.1,4.02,100-140,factory_normal
V0052-door_jamb_right,BMW,door_jamb_right,107.3,4.22,100-140,factory_normal
V0053-hood,BMW,hood,104.7,4.12,100-140,factory_normal
V0053-roof,BMW,roof,112.0,4.41,100-140,factory_normal
V0053-trunk,BMW,trunk,114.8,4.52,100-140,factory_normal
V0053-door_front_left,BMW,door_front_left,118.2,4.65,100-140,factory_normal
V0053-door_front_right,BMW,door_front_right,117.1,4.61,100-140,factory_normal
V0053-door_rear_left,BMW,door_rear_left,112.8,4.44,100-140,factory_normal
V0053-door_rear_right,BMW,door_rear_right,119.8,4.72,100-140,factory_normal
V0053-fender_left,BMW,fender_left,119.9,4.72,100-140,factory_normal
V0053-fender_right,BMW,fender_right,115.6,4.55,100-140,factory_normal
V0053-quarter_left,BMW,quarter_left,119.5,4.7,100-140,factory_normal
V0053-quarter_right,BMW,quarter_right,116.1,4.57,100-140,factory_normal
V0053-bumper_front,BMW,bumper_front,95.4,3.76,100-140,factory_normal
V0053-bumper_rear,BMW,bumper_rear,112.0,4.41,100-140,factory_normal
V0053-door_jamb_left,BMW,door_jamb_left,111.2,4.38,100-140,factory_normal
V0053-door_jamb_right,BMW,door_jamb_right,113.6,4.47,100-140,factory_normal
V0054-hood,BMW,hood,104.0,4.09,100-140,factory_normal
V0054-roof,BMW,roof,106.6,4.2,100-140,factory_normal
V0054-trunk,BMW,trunk,107.3,4.22,100-140,factory_normal
V0054-door_front_left,BMW,door_front_left,123.9,4.88,100-140,factory_normal
V0054-door_front_right,BMW,door_front_right,120.6,4.75,100-140,factory_normal
V0054-door_rear_left,BMW,door_rear_left,109.5,4.31,100-140,factory_normal
V0054-door_rear_right,BMW,door_rear_right,109.7,4.32,100-140,factory_normal
V0054-fender_left,BMW,fender_left,105.8,4.17,100-140,factory_normal
V0054-fender_right,BMW,fender_right,102.0,4.02,100-140,factory_normal
V0054-quarter_left,BMW,quarter_left,111.0,4.37,100-140,factory_normal
V0054-quarter_right,BMW,quarter_right,106.6,4.2,100-140,factory_normal
V0054-bumper_front,BMW,bumper_front,123.3,4.85,100-140,factory_normal
V0054-bumper_rear,BMW,bumper_rear,98.4,3.87,100-140,factory_normal
V0054-door_jamb_left,BMW,door_jamb_left,114.1,4.49,100-140,factory_normal
V0054-door_jamb_right,BMW,door_jamb_right,109.2,4.3,100-140,factory_normal
V0055-hood,BMW,hood,102.6,4.04,100-140,factory_normal
V0055-roof,BMW,roof,95.8,3.77,100-140,factory_normal
V0055-trunk,BMW,trunk,101.1,3.98,100-140,factory_normal
V0055-door_front_left,BMW,door_front_left,104.5,4.11,100-140,factory_normal
V0055-door_front_right,BMW,door_front_right,105.7,4.16,100-140,factory_normal
V0055-door_rear_left,BMW,door_rear_left,101.9,4.01,100-140,factory_normal
V0055-door_rear_right,BMW,door_rear_right,212.6,8.37,100-140,respray
V0055-fender_left,BMW,fender_left,107.7,4.24,100-140,factory_normal
V0055-fender_right,BMW,fender_right,101.4,3.99,100-140,factory_normal
V0055-quarter_left,BMW,quarter_left,106.4,4.19,100-140,factory_normal
V0055-quarter_right,BMW,quarter_right,112.3,4.42,100-140,factory_normal
V0055-bumper_front,BMW,bumper_front,124.6,4.91,100-140,factory_normal
V0055-bumper_rear,BMW,bumper_rear,103.5,4.07,100-140,factory_normal
V0055-door_jamb_left,BMW,door_jamb_left,100.7,3.96,100-140,factory_normal
V0055-door_jamb_right,BMW,door_jamb_right,100.6,3.96,100-140,factory_normal
V0056-hood,Audi,hood,106.4,4.19,100-130,factory_normal
V0056-roof,Audi,roof,122.2,4.81,100-130,factory_normal
V0056-trunk,Audi,trunk,112.3,4.42,100-130,factory_normal
V0056-door_front_left,Audi,door_front_left,115.3,4.54,100-130,factory_normal
V0056-door_front_right,Audi,door_front_right,108.4,4.27,100-130,factory_normal
V0056-door_rear_left,Audi,door_rear_left,109.9,4.33,100-130,factory_normal
V0056-door_rear_right,Audi,door_rear_right,107.3,4.22,100-130,factory_normal
V0056-fender_left,Audi,fender_left,97.6,3.84,100-130,factory_normal
V0056-fender_right,Audi,fender_right,103.9,4.09,100-130,factory_normal
V0056-quarter_left,Audi,quarter_left,101.8,4.01,100-130,factory_normal
V0056-quarter_right,Audi,quarter_right,99.6,3.92,100-130,factory_normal
V0056-bumper_front,Audi,bumper_front,120.7,4.75,100-130,factory_normal
V0056-bumper_rear,Audi,bumper_rear,116.4,4.58,100-130,factory_normal
V0056-door_jamb_left,Audi,door_jamb_left,112.4,4.43,100-130,factory_normal
V0056-door_jamb_right,Audi,door_jamb_right,113.0,4.45,100-130,factory_normal
V0057-hood,Audi,hood,131.3,5.17,100-130,factory_normal
V0057-roof,Audi,roof,131.3,5.17,100-130,factory_normal
V0057-trunk,Audi,trunk,125.7,4.95,100-130,factory_normal
V0057-door_front_left,Audi,door_front_left,122.8,4.83,100-130,factory_normal
V0057-door_front_right,Audi,door_front_right,122.5,4.82,100-130,factory_normal
V0057-door_rear_left,Audi,door_rear_left,128.9,5.07,100-130,factory_normal
V0057-door_rear_right,Audi,door_rear_right,130.1,5.12,100-130,factory_normal
V0057-fender_left,Audi,fender_left,124.5,4.9,100-130,factory_normal
V0057-fender_right,Audi,fender_right,128.6,5.06,100-130,factory_normal
V0057-quarter_left,Audi,quarter_left,131.3,5.17,100-130,factory_normal
V0057-quarter_right,Audi,quarter_right,131.6,5.18,100-130,factory_normal
V0057-bumper_front,Audi,bumper_front,154.7,6.09,100-130,respray
V0057-bumper_rear,Audi,bumper_rear,143.5,5.65,100-130,factory_normal
V0057-door_jamb_left,Audi,door_jamb_left,127.2,5.01,100-130,factory_normal
V0057-door_jamb_right,Audi,door_jamb_right,123.0,4.84,100-130,factory_normal
V0058-hood,Audi,hood,103.9,4.09,100-130,factory_normal
V0058-roof,Audi,roof,116.6,4.59,100-130,factory_normal
V0058-trunk,Audi,trunk,119.3,4.7,100-130,factory_normal
V0058-door_front_left,Audi,door_front_left,107.8,4.24,100-130,factory_normal
V0058-door_front_right,Audi,door_front_right,113.3,4.46,100-130,factory_normal
V0058-door_rear_left,Audi,door_rear_left,108.1,4.26,100-130,factory_normal
V0058-door_rear_right,Audi,door_rear_right,108.6,4.28,100-130,factory_normal
V0058-fender_left,Audi,fender_left,115.6,4.55,100-130,factory_normal
V0058-fender_right,Audi,fender_right,111.6,4.39,100-130,factory_normal
V0058-quarter_left,Audi,quarter_left,120.4,4.74,100-130,factory_normal
V0058-quarter_right,Audi,quarter_right,109.3,4.3,100-130,factory_normal
V0058-bumper_front,Audi,bumper_front,123.6,4.87,100-130,factory_normal
V0058-bumper_rear,Audi,bumper_rear,111.9,4.41,100-130,factory_normal
V0058-door_jamb_left,Audi,door_jamb_left,113.7,4.48,100-130,factory_normal
V0058-door_jamb_right,Audi,door_jamb_right,113.7,4.48,100-130,factory_normal
V0059-hood,Audi,hood,127.8,5.03,100-130,factory_normal
V0059-roof,Audi,roof,127.3,5.01,100-130,factory_normal
V0059-trunk,Audi,trunk,118.2,4.65,100-130,factory_normal
V0059-door_front_left,Audi,door_front_left,121.9,4.8,100-130,factory_normal
V0059-door_front_right,Audi,door_front_right,117.0,4.61,100-130,factory_normal
V0059-door_rear_left,Audi,door_rear_left,120.2,4.73,100-130,factory_normal
V0059-door_rear_right,Audi,door_rear_right,117.1,4.61,100-130,factory_normal
V0059-fender_left,Audi,fender_left,128.2,5.05,100-130,factory_normal
V0059-fender_right,Audi,fender_right,121.9,4.8,100-130,factory_normal
V0059-quarter_left,Audi,quarter_left,119.0,4.69,100-130,factory_normal
V0059-quarter_right,Audi,quarter_right,126.0,4.96,100-130,factory_normal
V0059-bumper_front,Audi,bumper_front,104.0,4.09,100-130,factory_normal
V0059-bumper_rear,Audi,bumper_rear,117.8,4.64,100-130,factory_normal
V0059-door_jamb_left,Audi,door_jamb_left,126.1,4.96,100-130,factory_normal
V0059-door_jamb_right,Audi,door_jamb_right,122.5,4.82,100-130,factory_normal
V0060-hood,Audi,hood,105.9,4.17,100-130,factory_normal
V0060-roof,Audi,roof,106.1,4.18,100-130,factory_normal
V0060-trunk,Audi,trunk,97.5,3.84,100-130,factory_normal
V0060-door_front_left,Audi,door_front_left,109.4,4.31,100-130,factory_normal
V0060-door_front_right,Audi,door_front_right,112.3,4.42,100-130,factory_normal
V0060-door_rear_left,Audi,door_rear_left,100.2,3.94,100-130,factory_normal
V0060-door_rear_right,Audi,door_rear_right,104.8,4.13,100-130,factory_normal
V0060-fender_left,Audi,fender_left,102.3,4.03,100-130,factory_normal
V0060-fender_right,Audi,fender_right,103.3,4.07,100-130,factory_normal
V0060-quarter_left,Audi,quarter_left,108.4,4.27,100-130,factory_normal
V0060-quarter_right,Audi,quarter_right,97.7,3.85,100-130,factory_normal
V0060-bumper_front,Audi,bumper_front,131.5,5.18,100-130,factory_normal
V0060-bumper_rear,Audi,bumper_rear,92.1,3.63,100-130,factory_normal
V0060-door_jamb_left,Audi,door_jamb_left,107.1,4.22,100-130,factory_normal
V0060-door_jamb_right,Audi,door_jamb_right,104.6,4.12,100-130,factory_normal
V0061-hood,Audi,hood,120.5,4.74,100-130,factory_normal
V0061-roof,Audi,roof,125.9,4.96,100-130,factory_normal
V0061-trunk,Audi,trunk,126.7,4.99,100-130,factory_normal
V0061-door_front_left,Audi,door_front_left,133.0,5.24,100-130,factory_normal
V0061-door_front_right,Audi,door_front_right,122.8,4.83,100-130,factory_normal
V0061-door_rear_left,Audi,door_rear_left,125.7,4.95,100-130,factory_normal
V0061-door_rear_right,Audi,door_rear_right,116.4,4.58,100-130,factory_normal
V0061-fender_left,Audi,fender_left,129.8,5.11,100-130,factory_normal
V0061-fender_right,Audi,fender_right,120.0,4.72,100-130,factory_normal
V0061-quarter_left,Audi,quarter_left,121.0,4.76,100-130,factory_normal
V0061-quarter_right,Audi,quarter_right,123.7,4.87,100-130,factory_normal
V0061-bumper_front,Audi,bumper_front,122.8,4.83,100-130,factory_normal
V0061-bumper_rear,Audi,bumper_rear,140.4,5.53,100-130,factory_normal
V0061-door_jamb_left,Audi,door_jamb_left,118.2,4.65,100-130,factory_normal
V0061-door_jamb_right,Audi,door_jamb_right,120.6,4.75,100-130,factory_normal
V0062-hood,Audi,hood,129.8,5.11,100-130,factory_normal
V0062-roof,Audi,roof,130.5,5.14,100-130,factory_normal
V0062-trunk,Audi,trunk,137.7,5.42,100-130,factory_normal
V0062-door_front_left,Audi,door_front_left,130.8,5.15,100-130,factory_normal
V0062-door_front_right,Audi,door_front_right,131.7,5.19,100-130,factory_normal
V0062-door_rear_left,Audi,door_rear_left,142.0,5.59,100-130,factory_normal
V0062-door_rear_right,Audi,door_rear_right,127.4,5.02,100-130,factory_normal
V0062-fender_left,Audi,fender_left,124.4,4.9,100-130,factory_normal
V0062-fender_right,Audi,fender_right,130.6,5.14,100-130,factory_normal
V0062-quarter_left,Audi,quarter_left,130.6,5.14,100-130,factory_normal
V0062-quarter_right,Audi,quarter_right,125.8,4.95,100-130,factory_normal
V0062-bumper_front,Audi,bumper_front,130.2,5.13,100-130,factory_normal
V0062-bumper_rear,Audi,bumper_rear,145.4,5.72,100-130,factory_normal
V0062-door_jamb_left,Audi,door_jamb_left,130.1,5.12,100-130,factory_normal
V0062-door_jamb_right,Audi,door_jamb_right,124.5,4.9,100-130,factory_normal
V0063-hood,Audi,hood,107.1,4.22,100-130,factory_normal
V0063-roof,Audi,roof,113.1,4.45,100-130,factory_normal
V0063-trunk,Audi,trunk,105.9,4.17,100-130,factory_normal
V0063-door_front_left,Audi,door_front_left,101.6,4.0,100-130,factory_normal
V0063-door_front_right,Audi,door_front_right,101.0,3.98,100-130,factory_normal
V0063-door_rear_left,Audi,door_rear_left,101.5,4.0,100-130,factory_normal
V0063-door_rear_right,Audi,door_rear_right,102.3,4.03,100-130,factory_normal
V0063-fender_left,Audi,fender_left,101.6,4.0,100-130,factory_normal
V0063-fender_right,Audi,fender_right,108.1,4.26,100-130,factory_normal
V0063-quarter_left,Audi,quarter_left,94.9,3.74,100-130,factory_normal
V0063-quarter_right,Audi,quarter_right,107.8,4.24,100-130,factory_normal
V0063-bumper_front,Audi,bumper_front,119.2,4.69,100-130,factory_normal
V0063-bumper_rear,Audi,bumper_rear,98.3,3.87,100-130,factory_normal
V0063-door_jamb_left,Audi,door_jamb_left,106.0,4.17,100-130,factory_normal
V0063-door_jamb_right,Audi,door_jamb_right,104.7,4.12,100-130,factory_normal
V0064-hood,Audi,hood,128.2,5.05,100-130,factory_normal
V0064-roof,Audi,roof,130.1,5.12,100-130,factory_normal
V0064-trunk,Audi,trunk,131.1,5.16,100-130,factory_normal
V0064-door_front_left,Audi,door_front_left,129.2,5.09,100-130,factory_normal
V0064-door_front_right,Audi,door_front_right,129.8,5.11,100-130,factory_normal
V0064-door_rear_left,Audi,door_rear_left,135.7,5.34,100-130,factory_normal
V0064-door_rear_right,Audi,door_rear_right,134.4,5.29,100-130,factory_normal
V0064-fender_left,Audi,fender_left,114.0,4.49,100-130,factory_normal
V0064-fender_right,Audi,fender_right,126.7,4.99,100-130,factory_normal
V0064-quarter_left,Audi,quarter_left,127.5,5.02,100-130,factory_normal
V0064-quarter_right,Audi,quarter_right,119.5,4.7,100-130,factory_normal
V0064-bumper_front,Audi,bumper_front,130.1,5.12,100-130,factory_normal
V0064-bumper_rear,Audi,bumper_rear,157.3,6.19,100-130,respray
V0064-door_jamb_left,Audi,door_jamb_left,126.7,4.99,100-130,factory_normal
V0064-door_jamb_right,Audi,door_jamb_right,129.7,5.11,100-130,factory_normal
V0065-hood,Volkswagen,hood,132.3,5.21,100-130,factory_normal
V0065-roof,Volkswagen,roof,128.4,5.06,100-130,factory_normal
V0065-trunk,Volkswagen,trunk,132.1,5.2,100-130,factory_normal
V0065-door_front_left,Volkswagen,door_front_left,122.2,4.81,100-130,factory_normal
V0065-door_front_right,Volkswagen,door_front_right,135.2,5.32,100-130,factory_normal
V0065-door_rear_left,Volkswagen,door_rear_left,127.7,5.03,100-130,factory_normal
V0065-door_rear_right,Volkswagen,door_rear_right,128.3,5.05,100-130,factory_normal
V0065-fender_left,Volkswagen,fender_left,126.8,4.99,100-130,factory_normal
V0065-fender_right,Volkswagen,fender_right,126.4,4.98,100-130,factory_normal
V0065-quarter_left,Volkswagen,quarter_left,132.7,5.22,100-130,factory_normal
V0065-quarter_right,Volkswagen,quarter_right,130.6,5.14,100-130,factory_normal
V0065-bumper_front,Volkswagen,bumper_front,124.9,4.92,100-130,factory_normal
V0065-bumper_rear,Volkswagen,bumper_rear,149.8,5.9,100-130,factory_normal
V0065-door_jamb_left,Volkswagen,door_jamb_left,133.4,5.25,100-130,factory_normal
V0065-door_jamb_right,Volkswagen,door_jamb_right,126.7,4.99,100-130,factory_normal
V0066-hood,Volkswagen,hood,111.8,4.4,100-130,factory_normal
V0066-roof,Volkswagen,roof,111.6,4.39,100-130,factory_normal
V0066-trunk,Volkswagen,trunk,106.9,4.21,100-130,factory_normal
V0066-door_front_left,Volkswagen,door_front_left,105.7,4.16,100-130,factory_normal
V0066-door_front_right,Volkswagen,door_front_right,105.7,4.16,100-130,factory_normal
V0066-door_rear_left,Volkswagen,door_rear_left,108.7,4.28,100-130,factory_normal
V0066-door_rear_right,Volkswagen,door_rear_right,113.8,4.48,100-130,factory_normal
V0066-fender_left,Volkswagen,fender_left,107.7,4.24,100-130,factory_normal
V0066-fender_right,Volkswagen,fender_right,214.2,8.43,100-130,respray
V0066-quarter_left,Volkswagen,quarter_left,110.9,4.37,100-130,factory_normal
V0066-quarter_right,Volkswagen,quarter_right,111.4,4.39,100-130,factory_normal
V0066-bumper_front,Volkswagen,bumper_front,117.2,4.61,100-130,factory_normal
V0066-bumper_rear,Volkswagen,bumper_rear,114.1,4.49,100-130,factory_normal
V0066-door_jamb_left,Volkswagen,door_jamb_left,97.9,3.85,100-130,factory_normal
V0066-door_jamb_right,Volkswagen,door_jamb_right,103.0,4.06,100-130,factory_normal
V0067-hood,Volkswagen,hood,111.0,4.37,100-130,factory_normal
V0067-roof,Volkswagen,roof,116.1,4.57,100-130,factory_normal
V0067-trunk,Volkswagen,trunk,107.4,4.23,100-130,factory_normal
V0067-door_front_left,Volkswagen,door_front_left,121.5,4.78,100-130,factory_normal
V0067-door_front_right,Volkswagen,door_front_right,113.6,4.47,100-130,factory_normal
V0067-door_rear_left,Volkswagen,door_rear_left,115.8,4.56,100-130,factory_normal
V0067-door_rear_right,Volkswagen,door_rear_right,126.0,4.96,100-130,factory_normal
V0067-fender_left,Volkswagen,fender_left,121.9,4.8,100-130,factory_normal
V0067-fender_right,Volkswagen,fender_right,112.8,4.44,100-130,factory_normal
V0067-quarter_left,Volkswagen,quarter_left,111.4,4.39,100-130,factory_normal
V0067-quarter_right,Volkswagen,quarter_right,112.7,4.44,100-130,factory_normal
V0067-bumper_front,Volkswagen,bumper_front,147.9,5.82,100-130,factory_normal
V0067-bumper_rear,Volkswagen,bumper_rear,122.7,4.83,100-130,factory_normal
V0067-door_jamb_left,Volkswagen,door_jamb_left,119.7,4.71,100-130,factory_normal
V0067-door_jamb_right,Volkswagen,door_jamb_right,115.4,4.54,100-130,factory_normal
V0068-hood,Volkswagen,hood,116.5,4.59,100-130,factory_normal
V0068-roof,Volkswagen,roof,195.7,7.7,100-130,respray
V0068-trunk,Volkswagen,trunk,122.5,4.82,100-130,factory_normal
V0068-door_front_left,Volkswagen,door_front_left,125.1,4.93,100-130,factory_normal
V0068-door_front_right,Volkswagen,door_front_right,120.4,4.74,100-130,factory_normal
V0068-door_rear_left,Volkswagen,door_rear_left,113.7,4.48,100-130,factory_normal
V0068-door_rear_right,Volkswagen,door_rear_right,113.4,4.46,100-130,factory_normal
V0068-fender_left,Volkswagen,fender_left,113.0,4.45,100-130,factory_normal
V0068-fender_right,Volkswagen,fender_right,111.3,4.38,100-130,factory_normal
V0068-quarter_left,Volkswagen,quarter_left,120.7,4.75,100-130,factory_normal
V0068-quarter_right,Volkswagen,quarter_right,125.8,4.95,100-130,factory_normal
